"","Sample","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","Cl","Sc","V","Cr","Co","Ni","Cu","Zn","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Pd","Ag","Cd","Sn","Sb","Te","Cs","Ba","La","Ce","Hf","Ta","W","Re","Au","Hg","Pb","Bi","Th","U","Si.WDXRF","Ti.WDXRF","Al.WDXRF","Fe.WDXRF","Mn.WDXRF","Mg.WDXRF","Ca.WDXRF","K.WDXRF","P.WDXRF","S.WDXRF","V.WDXRF","Cr.WDXRF","Ni.WDXRF","Cu.WDXRF","Zn.WDXRF","Rb.WDXRF","Sr.WDXRF","Y.WDXRF","Zr.WDXRF","Nb.WDXRF","Ba.WDXRF","Ce.WDXRF","Pb.WDXRF","Th.WDXRF"
"1","H006",254604,3043,70478,34512,734,13042,24008,24525,3812,285,124,9,95,69,0,92,36,80,13,2,110,174,23,177,14,0,0,6,11,4,22,104,16,855,232,223,0,0,0,0,0,3,24,0,4,0,292526,3537,72612,35664,767,13628,25300,24323,3273,204,107,92,44,22,90,118,169,27,178,14,622,61,27,15
"2","H014",235632,2573,88166,42487,938,26235,100374,23322,1765,774,291,27,75,70,57,136,45,118,11,0,144,373,20,138,15,1,11,12,24,8,39,155,20,680,218,129,0,0,0,0,4,8,27,0,6,8,237414,4077,80339,43217,976,17910,94197,25237,698,1163,111,155,95,33,104,148,369,27,127,15,350,63,26,17
"3","H045",225463,1870,60718,25015,658,22534,151402,11864,2140,260,170,51,48,20,0,82,61,64,12,0,120,299,18,193,12,0,0,0,14,6,24,108,15,614,170,65,0,0,0,0,5,0,6,0,4,8,211892,2698,47896,25455,651,17247,166166,12452,1615,959,52,67,27,18,59,127,301,25,189,12,392,43,6,13
"4","H047",260551,3333,102412,33060,500,17478,80429,23441,1221,1135,359,34,103,54,0,106,34,92,22,0,131,631,20,169,14,1,4,4,16,6,24,101,15,739,204,160,0,0,0,0,0,8,27,0,5,9,249240,4257,85578,35944,542,15136,80117,23244,916,1826,116,110,56,24,95,141,631,26,154,15,515,59,27,14
"5","H052",266464,2918,80107,38289,602,13629,18363,22305,2232,152,105,0,83,85,0,95,48,86,12,0,124,137,21,184,16,0,9,5,20,7,29,111,16,665,189,97,0,0,0,0,0,7,25,0,5,3,301127,3837,78433,42028,2548,12905,16152,23576,1440,122,109,103,62,28,99,134,134,29,194,16,380,54,30,15
"6","H053",298683,3293,91648,41339,1545,16741,15481,25108,989,162,104,9,91,73,0,95,38,100,12,0,142,145,20,201,15,0,4,7,16,6,27,103,14,667,159,0,0,0,0,0,0,0,29,0,5,8,300285,3717,78698,40280,3307,12905,16867,23742,786,148,103,98,63,27,104,142,136,27,189,16,469,68,29,15
"7","H056",272789,5660,85833,42110,366,0,22134,13005,1292,266,1098,0,126,120,68,163,63,99,2,0,114,74,24,311,33,0,0,4,16,6,27,121,16,526,213,168,0,0,0,0,0,0,44,0,5,8,334736,8153,86637,49371,472,2593,4931,12784,524,28,162,227,112,20,87,106,70,27,301,33,214,62,65,15
"8","H057",228041,1903,51961,21164,790,12071,143801,15164,1484,196,303,34,39,23,0,95,35,53,11,0,72,311,16,182,11,1,0,0,6,5,20,85,15,602,246,215,0,0,0,0,5,6,19,0,4,6,240639,2338,45409,21329,589,10432,120712,15524,1615,463,43,53,23,15,52,78,276,21,171,10,381,43,14,9
"9","H058",304631,3472,78891,30197,247,17895,16918,20147,793,124,313,4,83,55,0,71,23,60,4,0,103,104,23,234,14,0,0,3,11,6,24,96,14,621,197,114,0,0,0,0,0,0,24,0,5,8,348432,3357,61127,28811,209,9468,16009,21003,480,63,71,84,27,10,60,110,111,28,244,15,392,58,26,12
"10","H060",254351,2438,69279,21008,451,18009,68812,19054,1165,75,30,29,82,53,0,90,32,53,6,0,87,192,12,111,8,0,0,0,13,6,21,94,15,499,209,145,0,0,0,0,0,7,17,0,3,6,261674,2638,57634,23986,589,11940,69111,18429,1222,251,80,87,41,21,62,98,218,18,115,9,227,38,18,11
"11","H066",329551,3388,78415,31596,229,11991,16804,16048,866,133,364,0,72,57,0,67,23,58,7,0,91,93,24,283,16,0,8,9,18,6,26,104,15,555,174,45,0,0,0,0,3,0,27,0,5,9,346655,3897,61233,32028,194,6995,14079,16686,349,57,80,89,30,10,59,100,96,29,283,16,291,57,30,15
