Reading No,Time,Type,Duration,Units,Sigma Value,Flags,Sample,Mo,Mo Error,Mo CPS/ua,Zr,Zr Error,Zr CPS/ua,Sr,Sr Error,Sr CPS/ua,U,U Error,U CPS/ua,Rb,Rb Error,Rb CPS/ua,Th,Th Error,Th CPS/ua,Pb,Pb Error,Pb CPS/ua,Au,Au Error,Au CPS/ua,Se,Se Error,Se CPS/ua,As,As Error,As CPS/ua,Hg,Hg Error,Hg CPS/ua,Zn,Zn Error,Zn CPS/ua,W,W Error,W CPS/ua,Cu,Cu Error,Cu CPS/ua,Ni,Ni Error,Ni CPS/ua,Co,Co Error,Co CPS/ua,Fe,Fe Error,Fe CPS/ua,Mn,Mn Error,Mn CPS/ua,Cr,Cr Error,Cr CPS/ua,V,V Error,V CPS/ua,Ti,Ti Error,Ti CPS/ua,Sc,Sc Error,Sc CPS/ua,Ca,Ca Error,Ca CPS/ua,K,K Error,K CPS/ua,S,S Error,S CPS/ua,Ba,Ba Error,Ba CPS/ua,Cs,Cs Error,Cs CPS/ua,Te,Te Error,Te CPS/ua,Sb,Sb Error,Sb CPS/ua,Sn,Sn Error,Sn CPS/ua,Cd,Cd Error,Cd CPS/ua,Ag,Ag Error,Ag CPS/ua,Pd,Pd Error,Pd CPS/ua,Ce,Ce Error,Ce CPS/ua,La,La Error,La CPS/ua,Bal,Bal Error,Bal CPS/ua,Nb,Nb Error,Nb CPS/ua,Y,Y Error,Y CPS/ua,Bi,Bi Error,Bi CPS/ua,Re,Re Error,Re CPS/ua,Ta,Ta Error,Ta CPS/ua,Hf,Hf Error,Hf CPS/ua,Al,Al Error,Al CPS/ua,P,P Error,P CPS/ua,Si,Si Error,Si CPS/ua,Cl,Cl Error,Cl CPS/ua,Mg,Mg Error,Mg CPS/ua
3,8/28/2017 11:45,TestAll Geo,300.62,ppm,2,-8mm ,H006,2.35,1.52,0,193.51,3.08,0,164.97,2.82,0,<LOD,4.85,0,111.96,2.8,0,7.65,1.92,0,26.61,3.23,0,<LOD,4.29,0,<LOD,2.51,0,11.35,2.69,0,4.83,2.8,0,81.72,6.05,0,<LOD,16.58,0,35.6,8.29,0,47.82,10.01,0,143.34,58.64,0,34151.1,224.13,0,638.9,40.46,0,54.84,7.75,0,94.14,14.65,0,2885.39,49.16,0,10.86,4.39,0,22503.91,193.78,0,24130.57,275.15,0,<LOD,108.13,0,830.31,21.49,0,16.31,0.94,0,108.02,14.02,0,20.96,4.16,0,4.93,1.06,0,17.53,5.06,0,6.81,3.36,0,<LOD,6.42,0,235.89,66.39,0,198.64,31.46,0,598868.69,1330.69,0,12.26,1.81,0,22.84,1.83,0,<LOD,78.97,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,57599.75,1016.43,0,3033.83,81.04,0,244275.09,981.68,0,<LOD,12.18,0,8720.59,3009.08,0
55,8/29/2017 13:48,TestAll Geo,301.57,ppm,2,-8mm ,H006,2.56,1.52,0,165.02,2.94,0,157.82,2.81,0,<LOD,4.67,0,101.23,2.71,0,8.54,1.95,0,23.8,3.18,0,<LOD,4.36,0,<LOD,2.57,0,13.15,2.7,0,4.42,2.86,0,74.5,5.95,0,<LOD,16.73,0,28.06,8.19,0,65.22,10.25,0,<LOD,85.44,0,32159.07,219.96,0,647.59,41.06,0,61.9,8.24,0,102.85,15.87,0,3130.02,53.23,0,10.05,4.75,0,23553.43,199.77,0,22521.57,268.46,0,<LOD,108.64,0,1032.58,22.62,0,18.65,0.96,0,146.31,14.46,0,24.17,4.24,0,5.5,1.08,0,20.45,5.16,0,9.38,3.45,0,<LOD,6.56,0,198.68,66.32,0,191.1,31.51,0,541150.69,1537.8,0,12.6,1.83,0,21.31,1.81,0,<LOD,80.2,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,75451.44,1231.36,0,3079.92,84.2,0,278674.75,1047.59,0,<LOD,11.78,0,16588.82,3207.64,0
5,8/28/2017 12:06,TestAll Geo,300.1,ppm,2,-8mm ,H045,3.97,1.57,0,185.31,3.21,0,296.81,3.79,0,<LOD,5.25,0,126.91,3.03,0,5.2,1.85,0,7.98,2.59,0,6.35,3.12,0,<LOD,2.61,0,10,2.27,0,<LOD,7.79,0,63.82,5.82,0,<LOD,17.85,0,23.82,8.43,0,60.9,10.4,0,<LOD,75.69,0,24974.03,193.84,0,604.3,39.96,0,102.79,23.83,0,45.86,13.09,0,1897.17,46.72,0,40.62,13.24,0,159137.45,654.17,0,10824.03,198.93,0,330.3,20.35,0,548.87,21.07,0,12.76,0.97,0,85.1,14.48,0,19.42,4.33,0,2.81,1.09,0,<LOD,7.61,0,6.32,3.49,0,<LOD,6.61,0,238.98,69.07,0,173.26,32.63,0,487592.81,1609.15,0,11.72,1.79,0,17.78,1.81,0,<LOD,76.24,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,57118.09,1519.14,0,1722.8,96.57,0,225852.75,950.63,0,56.75,11.23,0,27012.87,5651.84,0
56,8/29/2017 13:56,TestAll Geo,301.96,ppm,2,-8mm ,H045,3.8,1.6,0,180.98,3.25,0,294.82,3.86,0,<LOD,5.36,0,130.21,3.12,0,7.5,1.95,0,5.27,2.52,0,<LOD,4.42,0,<LOD,2.56,0,11.5,2.28,0,<LOD,8.01,0,58.14,5.82,0,22.16,12.39,0,25.61,8.74,0,63.49,10.76,0,86.03,50.98,0,23972.94,193.86,0,501.48,38.89,0,84.9,24.37,0,39,12.48,0,1769.8,44.76,0,38.83,12.97,0,164438.77,683.13,0,10885.51,200.98,0,485.54,22.45,0,578.98,21.92,0,14.44,1.01,0,85.3,14.96,0,22.04,4.5,0,3.75,1.13,0,<LOD,7.91,0,7.98,3.64,0,<LOD,6.97,0,269.77,71.3,0,225.97,33.88,0,483708.81,1619.28,0,11.85,1.85,0,16.87,1.85,0,<LOD,80.29,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,57275.23,1543.77,0,1555.43,99.24,0,233911.98,975.56,0,140.62,12.25,0,18298.25,5651.85,0
6,8/28/2017 12:23,TestAll Geo,301.39,ppm,2,-8mm ,H047,2.53,1.64,0,167.84,3.61,0,673.77,5.93,0,7.27,3.98,0,128.65,3.25,0,8.16,2.14,0,26.52,3.54,0,<LOD,4.94,0,<LOD,2.9,0,19.05,3.1,0,<LOD,8.27,0,85.55,6.68,0,<LOD,18.84,0,33.49,9.47,0,65.75,11.46,0,101.04,60.77,0,31888.14,233.36,0,476.42,40.62,0,45.81,6.84,0,77.48,12.84,0,2435.59,43.91,0,21.19,7.15,0,79094.29,429.91,0,21919.48,276.2,0,944.17,24.45,0,756.6,24.49,0,16.47,1.1,0,112.06,16.28,0,21.12,4.82,0,3.78,1.22,0,<LOD,8.57,0,10.55,3.97,0,<LOD,7.41,0,212.27,74.8,0,185.83,35.47,0,495968.06,1741.81,0,13.14,1.97,0,18.62,1.97,0,<LOD,87.29,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,92510.06,1810.12,0,833.63,88.45,0,251442.13,1027.09,0,<LOD,15.88,0,18004.98,4627.82,0
58,8/29/2017 14:19,TestAll Geo,301.66,ppm,2,-8mm ,H047,<LOD,3.09,0,158.29,4.54,0,665.05,7.53,0,<LOD,7.35,0,122.67,4.05,0,6.45,2.64,0,21.84,4.27,0,<LOD,5.84,0,<LOD,3.47,0,20.33,3.85,0,<LOD,10.17,0,78.38,8.32,0,<LOD,24.34,0,18.3,11.48,0,48.54,14.16,0,<LOD,114.85,0,31228.46,291.87,0,466.91,51.22,0,47.82,7.21,0,77.23,13.37,0,2657.67,46.25,0,21.57,7.7,0,82068.97,506.27,0,21705.18,281.15,0,1060.9,25.3,0,571.36,22.59,0,10.54,1.03,0,60.47,15.2,0,12.64,4.54,0,2.1,1.15,0,8.64,5.49,0,6.8,3.72,0,<LOD,7.04,0,<LOD,105.12,0,136.04,33.33,0,487023,2259.71,0,14.33,2.5,0,18.75,2.47,0,<LOD,109.17,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,90721.54,1840.16,0,924.66,89.73,0,256312.41,1176.13,0,35.38,11.65,0,21850.09,4746.6,0
7,8/28/2017 12:35,TestAll Geo,301.83,ppm,2,-8mm ,H052,<LOD,2.3,0,182.28,3.06,0,129.95,2.59,0,<LOD,5.03,0,119.46,2.95,0,10.74,2.09,0,33.57,3.54,0,6.45,3.12,0,<LOD,2.59,0,13.45,2.95,0,<LOD,4.34,0,85.54,6.29,0,<LOD,17.22,0,40.8,8.68,0,78.78,10.77,0,163.7,64.41,0,38795.9,244.67,0,556.82,40.73,0,66.29,8.14,0,95.9,14.92,0,3183.42,50.79,0,<LOD,5.57,0,15097.52,161.88,0,21373.05,265.13,0,73.42,13.04,0,865.27,22.6,0,22.34,1.01,0,161.28,15.09,0,34.3,4.48,0,8.39,1.15,0,21.18,5.35,0,9.28,3.57,0,<LOD,6.76,0,361.44,68.68,0,257.55,32.49,0,533341.06,1605.27,0,13.82,1.9,0,22.13,1.9,0,<LOD,87.48,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,88163.24,1329.39,0,2392.62,77.86,0,275153.53,1056.13,0,<LOD,11.16,0,18663.01,3148.09,0
8,8/28/2017 12:53,TestAll Geo,301.81,ppm,2,-8mm ,H052,<LOD,2.35,0,180.33,3.1,0,134.02,2.68,0,<LOD,5.25,0,135.11,3.16,0,8.98,2.08,0,28.34,3.43,0,<LOD,4.58,0,<LOD,2.59,0,9.57,2.81,0,<LOD,7.9,0,91.3,6.56,0,<LOD,17.9,0,29.92,8.91,0,90.06,11.24,0,<LOD,95.39,0,37328.43,246.09,0,2272.37,64.18,0,65.75,7.44,0,85.72,13.55,0,2729.44,45.72,0,7.77,3.4,0,15867.21,174.13,0,25091.75,297.07,0,230.76,72.68,0,645.04,22,0,13.85,1,0,90.01,14.81,0,17.35,4.4,0,2.86,1.11,0,13.15,5.33,0,<LOD,5.3,0,<LOD,6.62,0,154.93,71.36,0,186.35,34.01,0,507859,1660.23,0,11.65,1.91,0,21.51,1.96,0,<LOD,85.55,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,87361.08,1443.31,0,549.98,80.02,0,302116.41,1139.81,0,<LOD,13.41,0,15141.77,3505.14,0
59,8/29/2017 14:26,TestAll Geo,300.01,ppm,2,-8mm ,H052,<LOD,2.23,0,171.76,2.89,0,130.91,2.52,0,<LOD,4.9,0,124.29,2.9,0,7.82,1.92,0,24.86,3.14,0,<LOD,4.21,0,<LOD,2.47,0,13.16,2.67,0,<LOD,7.2,0,84.83,6.05,0,<LOD,16.28,0,45.07,8.42,0,61.58,10.13,0,163.05,60.58,0,36853.95,231.64,0,652.48,40.43,0,77.26,8.44,0,88.41,15.15,0,3235.03,51.84,0,5.98,3.98,0,16773.07,171.55,0,22958.13,275.84,0,63.65,13.63,0,594.59,20.62,0,12.71,0.94,0,99.87,14.12,0,14.96,4.16,0,4.16,1.07,0,16.87,5.11,0,9.34,3.44,0,<LOD,6.35,0,<LOD,95.8,0,151.72,30.51,0,523116.94,1556.08,0,14.31,1.82,0,21.51,1.83,0,<LOD,79.65,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,85105.95,1350.63,0,1493.37,79.29,0,289962.81,1060.24,0,<LOD,12.11,0,17222.95,3297.06,0
60,8/29/2017 14:33,TestAll Geo,301.85,ppm,2,-8mm ,H053,<LOD,2.21,0,179.41,2.92,0,131.45,2.51,0,<LOD,4.94,0,129.47,2.94,0,9.85,1.97,0,27.13,3.2,0,<LOD,4.23,0,<LOD,2.43,0,8.85,2.6,0,<LOD,7.08,0,87.09,6.04,0,<LOD,15.99,0,37.34,8.16,0,67.17,10.04,0,90.63,57.92,0,34737.96,222.93,0,917.99,44.11,0,62.67,8.31,0,100.63,15.44,0,3264.52,52.34,0,9.66,3.75,0,14011,156.03,0,22987.45,271.58,0,91.29,13.23,0,712.38,21.13,0,16.85,0.96,0,117.61,14.24,0,29.54,4.29,0,4.97,1.08,0,19.82,5.15,0,11.39,3.48,0,9.66,4.46,0,221.44,63.49,0,214.04,30.19,0,511683.59,1567.64,0,14.15,1.82,0,19.83,1.82,0,<LOD,81.68,0,<LOD,1.5,0,<LOD,1.5,0,<LOD,1.5,0,87869.95,1337.76,0,541.48,74.94,0,305659.63,1082.98,0,<LOD,11.89,0,15349.83,3127.77,0
