"","Sample","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","Cl","Sc","V","Cr","Co","Ni","Cu","Zn","As","Se","Rb","Sr","Y","Zr","Nb","Mo","Pd","Ag","Cd","Sn","Sb","Te","Cs","Ba","La","Ce","Hf","Ta","W","Re","Au","Hg","Pb","Bi","Th","U","Si.WDXRF","Ti.WDXRF","Al.WDXRF","Fe.WDXRF","Mn.WDXRF","Mg.WDXRF","Ca.WDXRF","K.WDXRF","P.WDXRF","S.WDXRF","V.WDXRF","Cr.WDXRF","Ni.WDXRF","Cu.WDXRF","Zn.WDXRF","Rb.WDXRF","Sr.WDXRF","Y.WDXRF","Zr.WDXRF","Nb.WDXRF","Ba.WDXRF","Ce.WDXRF","Pb.WDXRF","Th.WDXRF"
"1","H006",261475,3008,66526,33155,643,12655,23029,23326,3057,0,0,10,98,58,72,57,32,78,12,0,107,161,22,179,12,2,0,8,19,5,23,127,17,931,195,217,0,0,0,0,0,5,25,0,8,0,292526,3537,72612,35664,767,13628,25300,24323,3273,204,107,92,44,22,90,118,169,27,178,14,622,61,27,15
"2","H045",229882,1833,57197,24473,553,22656,161788,10855,1639,408,99,40,42,94,43,62,25,61,11,0,129,296,17,183,12,4,0,7,0,3,21,85,14,564,200,254,0,0,11,0,3,0,7,0,6,0,211892,2698,47896,25455,651,17247,166166,12452,1615,959,52,67,27,18,59,127,301,25,189,12,392,43,6,13
"3","H047",253877,2547,91616,31558,472,19928,80582,21812,879,1003,18,21,77,47,51,57,26,82,20,0,126,669,19,163,14,1,0,9,4,3,17,86,14,664,161,106,0,0,0,0,0,0,24,0,7,4,249240,4257,85578,35944,542,15136,80117,23244,916,1826,116,110,56,24,95,141,631,26,154,15,515,59,27,14
"4","H052",289078,3049,86877,37659,1161,17009,15913,23141,1479,123,0,5,90,70,109,77,39,87,12,0,126,132,22,178,13,0,0,6,17,5,22,117,16,702,199,172,0,0,0,0,2,0,29,0,9,0,301127,3837,78433,42028,2548,12905,16152,23576,1440,122,109,103,62,28,99,134,134,29,194,16,380,54,30,15
"5","H053",305660,3265,87870,34738,918,15350,14011,22987,541,91,0,10,101,63,91,67,37,87,9,0,129,131,20,179,14,0,10,11,20,5,30,118,17,712,214,221,0,0,0,0,0,0,27,0,10,0,300285,3717,78698,40280,3307,12905,16867,23742,786,148,103,98,63,27,104,142,136,27,189,16,469,68,29,15
"6","H056",303790,7028,92953,45545,423,4018,7253,14112,554,122,828,0,148,146,65,115,49,85,0,0,108,74,26,297,33,3,0,10,18,5,25,120,17,554,227,238,0,0,0,0,2,5,38,0,8,2,334736,8153,86637,49371,472,2593,4931,12784,524,28,162,227,112,20,87,106,70,27,301,33,214,62,65,15
"7","H057",213519,1668,43795,19475,613,8618,139816,14549,1692,304,115,37,44,94,0,46,27,50,13,0,71,265,15,153,8,1,0,8,8,4,24,115,16,602,208,223,0,0,0,0,0,6,19,0,6,5,240639,2338,45409,21329,589,10432,120712,15524,1615,463,43,53,23,15,52,78,276,21,171,10,381,43,14,9
"8","H058",338456,3154,81920,28911,290,20715,27407,19291,431,59,0,5,87,51,45,64,34,68,2,0,98,106,23,234,11,1,7,5,18,6,27,126,17,690,179,151,0,0,10,0,0,0,23,0,10,4,348432,3357,61127,28811,209,9468,16009,21003,480,63,71,84,27,10,60,110,111,28,244,15,392,58,26,12
"9","H060",218506,2102,52933,21692,491,7257,75555,18321,755,125,0,34,73,43,0,48,28,53,7,1,82,225,13,105,7,1,0,6,16,5,26,121,16,499,175,166,0,0,0,0,0,8,16,0,7,0,261674,2638,57634,23986,589,11940,69111,18429,1222,251,80,87,41,21,62,98,218,18,115,9,227,38,18,11
"10","H066",328583,3050,72395,30787,223,8491,14421,16147,440,51,0,0,67,72,0,57,21,66,3,0,92,93,24,285,14,3,6,12,22,6,27,131,16,590,134,0,0,0,0,0,0,0,26,0,10,2,346655,3897,61233,32028,194,6995,14079,16686,349,57,80,89,30,10,59,100,96,29,283,16,291,57,30,15
