"","Sample","Si.II.x","Ti.II.x","Al.II.x","Fe.II.x","Mn.II.x","Mg.II.x","Ca.II.x","K.II.x","P.II.x","S.II.x","Cl.II.x","Sc.II.x","V.II.x","Cr.II.x","Co.II.x","Ni.II.x","Cu.II.x","Zn.II.x","As.II.x","Se.II.x","Rb.II.x","Sr.II.x","Y.II.x","Zr.II.x","Nb.II.x","Mo.II.x","Pd.II.x","Ag.II.x","Cd.II.x","Sn.II.x","Sb.II.x","Te.II.x","Cs.II.x","Ba.II.x","La.II.x","Ce.II.x","Hf.II.x","Ta.II.x","W.II.x","Re.II.x","Au.II.x","Hg.II.x","Pb.II.x","Bi.II.x","Th.II.x","U.II.x","Si.II.y","Ti.II.y","Al.II.y","Fe.II.y","Mn.II.y","Mg.II.y","Ca.II.y","K.II.y","P.II.y","S.II.y","Cl.II.y","Sc.II.y","V.II.y","Cr.II.y","Co.II.y","Ni.II.y","Cu.II.y","Zn.II.y","As.II.y","Se.II.y","Rb.II.y","Sr.II.y","Y.II.y","Zr.II.y","Nb.II.y","Mo.II.y","Pd.II.y","Ag.II.y","Cd.II.y","Sn.II.y","Sb.II.y","Te.II.y","Cs.II.y","Ba.II.y","La.II.y","Ce.II.y","Hf.II.y","Ta.II.y","W.II.y","Re.II.y","Au.II.y","Hg.II.y","Pb.II.y","Bi.II.y","Th.II.y","U.II.y"
"1","H006",254604,3043,70478,34512,734,13042,24008,24525,3812,285,124,9,95,69,0,92,36,80,13,2,110,174,23,177,14,0,0,6,11,4,22,104,16,855,232,223,0,0,0,0,0,3,24,0,4,0,254604,3043,70478,34512,734,13042,24008,24525,3812,285,124,9,95,69,0,92,36,80,13,2,110,174,23,177,14,0,0,6,11,4,22,104,16,855,232,223,0,0,0,0,0,3,24,0,4,0
"2","H014",235632,2573,88166,42487,938,26235,100374,23322,1765,774,291,27,75,70,57,136,45,118,11,0,144,373,20,138,15,1,11,12,24,8,39,155,20,680,218,129,0,0,0,0,4,8,27,0,6,8,235632,2573,88166,42487,938,26235,100374,23322,1765,774,291,27,75,70,57,136,45,118,11,0,144,373,20,138,15,1,11,12,24,8,39,155,20,680,218,129,0,0,0,0,4,8,27,0,6,8
"3","H045",225463,1870,60718,25015,658,22534,151402,11864,2140,260,170,51,48,20,0,82,61,64,12,0,120,299,18,193,12,0,0,0,14,6,24,108,15,614,170,65,0,0,0,0,5,0,6,0,4,8,225463,1870,60718,25015,658,22534,151402,11864,2140,260,170,51,48,20,0,82,61,64,12,0,120,299,18,193,12,0,0,0,14,6,24,108,15,614,170,65,0,0,0,0,5,0,6,0,4,8
"4","H047",260551,3333,102412,33060,500,17478,80429,23441,1221,1135,359,34,103,54,0,106,34,92,22,0,131,631,20,169,14,1,4,4,16,6,24,101,15,739,204,160,0,0,0,0,0,8,27,0,5,9,260551,3333,102412,33060,500,17478,80429,23441,1221,1135,359,34,103,54,0,106,34,92,22,0,131,631,20,169,14,1,4,4,16,6,24,101,15,739,204,160,0,0,0,0,0,8,27,0,5,9
"5","H052",266464,2918,80107,38289,602,13629,18363,22305,2232,152,105,0,83,85,0,95,48,86,12,0,124,137,21,184,16,0,9,5,20,7,29,111,16,665,189,97,0,0,0,0,0,7,25,0,5,3,266464,2918,80107,38289,602,13629,18363,22305,2232,152,105,0,83,85,0,95,48,86,12,0,124,137,21,184,16,0,9,5,20,7,29,111,16,665,189,97,0,0,0,0,0,7,25,0,5,3
"6","H053",298683,3293,91648,41339,1545,16741,15481,25108,989,162,104,9,91,73,0,95,38,100,12,0,142,145,20,201,15,0,4,7,16,6,27,103,14,667,159,0,0,0,0,0,0,0,29,0,5,8,298683,3293,91648,41339,1545,16741,15481,25108,989,162,104,9,91,73,0,95,38,100,12,0,142,145,20,201,15,0,4,7,16,6,27,103,14,667,159,0,0,0,0,0,0,0,29,0,5,8
"7","H056",272789,5660,85833,42110,366,0,22134,13005,1292,266,1098,0,126,120,68,163,63,99,2,0,114,74,24,311,33,0,0,4,16,6,27,121,16,526,213,168,0,0,0,0,0,0,44,0,5,8,272789,5660,85833,42110,366,0,22134,13005,1292,266,1098,0,126,120,68,163,63,99,2,0,114,74,24,311,33,0,0,4,16,6,27,121,16,526,213,168,0,0,0,0,0,0,44,0,5,8
"8","H057",228041,1903,51961,21164,790,12071,143801,15164,1484,196,303,34,39,23,0,95,35,53,11,0,72,311,16,182,11,1,0,0,6,5,20,85,15,602,246,215,0,0,0,0,5,6,19,0,4,6,228041,1903,51961,21164,790,12071,143801,15164,1484,196,303,34,39,23,0,95,35,53,11,0,72,311,16,182,11,1,0,0,6,5,20,85,15,602,246,215,0,0,0,0,5,6,19,0,4,6
"9","H058",304631,3472,78891,30197,247,17895,16918,20147,793,124,313,4,83,55,0,71,23,60,4,0,103,104,23,234,14,0,0,3,11,6,24,96,14,621,197,114,0,0,0,0,0,0,24,0,5,8,304631,3472,78891,30197,247,17895,16918,20147,793,124,313,4,83,55,0,71,23,60,4,0,103,104,23,234,14,0,0,3,11,6,24,96,14,621,197,114,0,0,0,0,0,0,24,0,5,8
"10","H060",254351,2438,69279,21008,451,18009,68812,19054,1165,75,30,29,82,53,0,90,32,53,6,0,87,192,12,111,8,0,0,0,13,6,21,94,15,499,209,145,0,0,0,0,0,7,17,0,3,6,254351,2438,69279,21008,451,18009,68812,19054,1165,75,30,29,82,53,0,90,32,53,6,0,87,192,12,111,8,0,0,0,13,6,21,94,15,499,209,145,0,0,0,0,0,7,17,0,3,6
