"","a","b","r2","rSEE","SEE","RMS","start","end","CILR5","CIBS5","CILR95","CIBS95","out","outpct"
"Si","0.7701","81341","0.9164","3.09","8938","4000","213519","348848","0.6686","0.6543","0.8716","0.8849","14-23-11-25-29-21-2-30-15-3-6-5","40"
"Ti","0.9015","1045","0.9787","9.4","409","139","1668","12764","0.8527","0.8533","0.9502","0.9795","24-18-3-13-12-6","20"
"Al","0.9114","0","0.9277","6.5","5682","1743","43795","136788","0.8877","0.8856","0.9351","0.9334","25-14-27-28-24-1-8-11-18","30"
"Fe","1.0679","0","0.9576","7.29","2157","391","9364","49741","1.0459","1.0442","1.0899","1.0924","29","3.33"
"Mn","1.1412","-58","0.9531","15.14","65","8","127","998","1.0378","1.0487","1.2447","1.2487","5-29-4-12-22-11-28-20-21-25","33.33"
"Mg","0.6713","1531","0.9552","9.86","1436","901","1966","33185","0.6193","0.6199","0.7232","0.7148","30-8-16-9-1","16.67"
"Ca","1.0503","-595","0.996","8.83","3058","530","3712","161788","1.0247","1.0249","1.0758","1.0926","7-22-23-29-24-8-17-9","26.67"
"K","1.0003","881","0.958","7.18","1336","168","7916","31880","0.9303","0.9367","1.0704","1.0788","11-14","6.67"
"P","1.0214","0","0.9456","15.47","166","6","256","3057","0.9725","0.9718","1.0703","1.0624","14-17-15-12-29-9-16-24","26.67"
"V","0.8602","27","0.9394","9.35","10","3","42","218","0.7736","0.7785","0.9469","0.9433","19-14-25-30-8-28-3-13-7","30"
"Cr","1.4627","0","0.9525","15.37","14","11","40","208","1.4076","1.4132","1.5179","1.505","20-29-7-2-13-24-18-3-11-19-21","36.67"
"Ni","1.1863","-25","0.9307","9.91","7","3","44","115","1.0451","1.0658","1.3276","1.3064","17-26-28-25-8-2-13-19-24-3-12-10","40"
"Cu","0.4655","6","0.9728","6.92","3","6","20","183","0.4327","0.411","0.4984","0.5859","11-17-25-21-8-20-6-3-27-10-30","36.67"
"Zn","1.0745","0","0.9471","7.6","5","1","37","110","1.047","1.0486","1.102","1.1025","11-14-24-17-15-25-20-8-10","30"
"Rb","1.0913","0","0.982","5.19","6","2","58","257","1.0761","1.0734","1.1065","1.1065","-","0"
"Sr","0.9752","6","0.9858","8.38","17","1","67","669","0.9376","0.9317","1.0128","1.0355","-","0"
"Y","1.0473","6","0.9012","7.91","2","1","13","34","0.9204","0.9124","1.1742","1.1963","22-6-19-28-29-25","20"
"Zr","1.0268","0","0.9611","6.48","14","1","105","348","1.0076","1.0082","1.046","1.0456","-","0"
"Nb","0.9633","2","0.9848","6.6","1","0","7","47","0.924","0.9106","1.0025","1.0198","28","3.33"
"Ba","1.0613","-276","0.9135","9.96","64","47","401","1363","0.9446","0.8976","1.178","1.2144","13-28-14-15-25","16.67"
"Pb","1.0779","0","0.9205","9.06","2","0","7","38","1.0488","1.0492","1.1071","1.1077","6-17-7-25","13.33"
