"","Sample","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","Cl","V","Cr","Ni","Zn","As","Rb","Sr","Y","Zr","Nb","Ba","Pb"
"1","H006",255278,3036,72315,33238,679,12655,23029,23785,3822,0,92,61,58,81,12,109,167,21,182,14,940,25
"2","H045",230227,1905,64099,24534,580,22656,161788,11438,2164,93,40,99,63,63,11,132,310,17,186,14,570,8
"3","H047",249253,2592,94412,31637,490,19928,80582,22286,1275,17,72,50,58,85,20,128,705,19,166,16,671,24
"4","H052",277164,3076,90239,37753,1250,17009,15913,23602,1977,0,85,74,79,90,12,128,137,21,181,15,709,29
"5","H053",290312,3284,91113,34825,982,15350,14011,23449,880,0,95,67,69,90,9,132,136,20,182,16,719,27
"6","H056",288829,6907,95590,45659,436,4018,7253,14663,895,779,139,154,118,88,0,110,75,25,302,34,560,37
"7","H057",217253,1746,52296,19524,646,8618,139816,15096,2226,108,41,99,47,52,13,72,277,15,155,10,608,19
"8","H058",316316,3177,85873,28983,290,20715,27407,19790,751,0,82,54,66,70,2,100,109,22,238,13,697,23
"9","H060",221207,2164,60344,21746,511,7257,75555,18830,1130,0,69,45,49,55,7,84,235,14,107,9,504,17
"10","H066",308487,3077,77484,30864,216,8491,14421,16678,762,0,63,76,58,68,3,94,95,23,289,16,596,26
"11","H076",259233,2529,98071,35836,984,23622,124176,25112,1833,906,91,77,103,96,8,117,466,20,125,14,607,22
"12","H077",267980,2951,83359,39305,1435,9891,15660,16104,3632,8,85,70,71,65,26,126,196,22,193,23,1377,20
"13","H078",282687,2623,77286,25160,389,8927,13756,17430,2190,117,59,88,59,44,12,109,145,17,214,20,954,19
"14","H079",210263,2677,66284,35384,754,4669,5040,18370,1982,0,101,73,50,96,15,97,68,19,186,18,474,23
"15","H087",283332,3491,109302,49865,1070,26308,27141,32253,2582,33,115,83,75,127,12,146,144,27,217,18,483,32
"16","H088",324556,3909,109197,24244,164,14945,7952,30620,970,28,97,83,49,65,15,262,97,25,199,18,405,22
"17","H089",289538,2911,108471,26467,198,11308,18557,28972,2448,620,81,76,136,106,14,210,142,25,253,22,681,34
"18","H092",289668,3134,103209,26037,485,33185,34236,24494,1465,40,71,58,85,110,12,135,175,24,235,18,692,32
"19","H095",312862,9867,98772,25029,195,3386,6651,9994,1046,0,173,183,52,42,6,76,105,27,353,43,452,24
"20","H100",249311,3250,81280,30913,572,13963,70387,19434,2296,0,98,137,55,79,21,105,511,20,173,13,903,21
"21","H102",243118,2313,79915,30771,787,22137,109079,19994,790,0,66,63,79,89,8,101,358,16,110,12,669,18
"22","H111",272277,3930,103330,45612,808,26425,28372,28740,1201,343,118,91,75,114,14,161,140,27,212,20,660,29
"23","H112",266210,3437,98324,41019,981,27066,95550,13395,1743,25,101,98,92,73,19,151,456,20,146,16,628,14
"24","H114",294991,5756,126488,9387,145,1966,16240,13586,1115,22,88,108,50,59,6,107,118,31,306,32,484,32
"25","H124",252004,10425,102358,17721,251,3258,7327,12926,1810,0,171,220,59,60,14,67,93,22,301,48,670,19
"26","H125",273162,6226,134195,19439,312,7584,7149,19100,1042,90,197,132,112,60,12,145,150,21,189,26,603,36
"27","H126",270745,7234,132622,19482,224,10504,5657,16768,1105,0,205,139,56,79,7,163,143,21,224,33,532,37
"28","H127",272009,12429,112000,28849,424,2956,6758,14030,1214,76,173,170,48,61,8,91,309,28,300,54,475,27
"29","H138",214864,2010,75812,27263,651,30829,143603,19329,1283,0,58,130,69,64,10,77,334,17,135,11,581,21
"30","H139",280833,5700,119392,21252,110,0,3712,8529,546,0,107,42,45,38,13,59,74,16,348,20,476,22
